x,y,z
2,2,7
2,2,8
2,3,3
2,3,8
2,4,3
2,7,10
2,9,5
2,9,12
2,9,13
2,10,13
2,11,3
2,11,13
2,12,3
2,12,13
3,2,7
3,2,8
3,3,3
3,3,8
3,9,5
3,9,12
3,10,12
3,10,13
3,11,3
3,11,13
3,12,3
3,12,13
4,1,2
4,2,2
4,2,6
4,2,7
4,2,8
4,3,4
4,3,8
4,4,8
4,5,14
4,5,15
4,6,3
4,6,4
4,8,5
4,8,7
4,9,5
4,9,12
4,10,12
4,11,3
4,11,13
4,12,3
4,12,13
5,1,2
5,2,2
5,2,6
5,2,7
5,2,8
5,3,4
5,3,8
5,4,7
5,4,8
5,5,13
5,5,14
5,6,3
5,6,4
5,8,5
5,8,7
5,9,5
5,9,12
5,10,12
5,11,3
5,11,12
5,11,13
5,12,3
6,2,7
6,2,8
6,3,4
6,3,5
6,3,7
6,3,8
6,4,7
6,5,13
6,8,5
6,8,7
6,9,5
6,9,12
6,10,4
6,10,12
6,11,1
6,11,2
6,11,3
6,11,4
6,11,12
6,11,13
6,12,3
7,2,8
7,3,4
7,3,5
7,3,6
7,3,8
7,3,9
7,4,4
7,4,7
7,5,4
7,5,11
7,5,12
7,8,5
7,8,7
7,8,13
7,9,5
7,9,10
7,9,13
7,10,4
7,10,11
7,10,12
7,11,2
7,11,4
7,11,12
7,11,13
7,12,2
7,12,4
8,2,8
8,3,4
8,3,6
8,3,8
8,3,9
8,4,4
8,4,6
8,4,7
8,4,9
8,5,10
8,5,11
8,5,12
8,6,4
8,6,12
8,7,4
8,8,5
8,8,7
8,8,13
8,9,10
8,9,13
8,10,4
8,10,10
8,10,11
8,10,12
8,10,13
8,11,3
8,11,4
8,11,12
8,11,13
8,11,14
8,12,2
8,13,1
8,13,5
8,14,1
9,1,8
9,2,6
9,2,7
9,2,8
9,3,6
9,3,8
9,4,4
9,4,5
9,4,6
9,4,7
9,4,8
9,5,4
9,5,10
9,5,12
9,6,4
9,6,12
9,6,13
9,7,4
9,8,7
9,8,8
9,8,13
9,9,9
9,9,10
9,9,13
9,10,10
9,10,11
9,10,12
9,10,13
9,11,11
9,11,12
9,11,13
9,11,14
9,13,6
10,1,6
10,1,8
10,2,6
10,2,7
10,2,8
10,3,6
10,4,7
10,4,8
10,5,3
10,5,4
10,5,9
10,5,10
10,6,3
10,6,4
10,7,3
10,7,8
10,8,8
10,8,9
10,11,11
10,11,12
10,11,13
10,11,14
10,12,5
10,12,6
11,2,6
11,2,7
11,2,8
11,4,7
11,5,3
11,5,7
11,5,8
11,5,9
11,5,10
11,6,3
11,6,5
11,6,6
11,7,3
11,7,8
11,8,8
11,9,8
11,11,3
11,11,13
11,11,14
11,12,6
12,2,6
12,2,7
12,2,9
12,3,7
12,4,7
12,4,9
12,5,7
12,5,8
12,5,9
12,5,10
12,6,5
12,6,6
12,6,8
12,6,12
12,6,13
12,7,8
12,8,8
12,9,8
12,11,1
12,11,2
12,11,3
12,11,4
12,11,6
12,12,14
12,12,15
12,13,9
12,13,10
12,14,4
13,4,9
13,5,6
13,5,7
13,5,8
13,5,9
13,5,10
13,6,6
13,6,8
13,6,12
13,10,8
13,11,1
13,11,2
13,11,3
13,11,4
13,11,5
13,11,6
13,12,4
13,13,4
13,14,4
14,3,11
14,3,12
14,3,13
14,3,14
14,4,9
14,4,10
14,4,11
14,4,12
14,5,6
14,5,7
14,5,8
14,5,10
14,5,12
14,6,6
14,6,7
14,7,3
14,10,3
14,10,6
14,10,7
14,10,8
14,11,4
14,11,5
14,12,4
14,13,4
14,14,4
14,14,10
14,14,11
